product_key,product_id,product_name,category,sub_category
1,OFF-PA-10002005,Xerox 225,Office Supplies,Paper
2,OFF-PA-10002893,"Wirebound Service Call Books, 5 1/2"" x 4""",Office Supplies,Paper
3,OFF-PA-10000659,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",Office Supplies,Paper
4,OFF-PA-10001144,Xerox 1913,Office Supplies,Paper
5,OFF-PA-10002105,Xerox 223,Office Supplies,Paper
6,OFF-PA-10004519,Spiral Phone Message Books with Labels by Adams,Office Supplies,Paper
7,OFF-PA-10000223,Xerox 2000,Office Supplies,Paper
8,OFF-PA-10001947,Xerox 1974,Office Supplies,Paper
9,OFF-PA-10002245,Xerox 1895,Office Supplies,Paper
10,OFF-PA-10001363,Xerox 1933,Office Supplies,Paper
11,OFF-PA-10001457,White GlueTop Scratch Pads,Office Supplies,Paper
12,OFF-PA-10004285,Xerox 1959,Office Supplies,Paper
13,OFF-PA-10000477,Xerox 22,Office Supplies,Paper
14,OFF-PA-10001970,Xerox 1881,Office Supplies,Paper
15,OFF-PA-10000743,Xerox 1977,Office Supplies,Paper
16,OFF-PA-10003127,Staples,Office Supplies,Paper
17,OFF-PA-10004355,Xerox 231,Office Supplies,Paper
18,OFF-PA-10003441,Xerox 226,Office Supplies,Paper
19,OFF-PA-10000176,Xerox 1887,Office Supplies,Paper
20,OFF-PA-10000327,Xerox 1971,Office Supplies,Paper
21,OFF-PA-10000675,Xerox 1919,Office Supplies,Paper
22,OFF-PA-10003892,Xerox 1943,Office Supplies,Paper
23,OFF-PA-10004947,Staples,Office Supplies,Paper
24,OFF-PA-10000595,Xerox 1929,Office Supplies,Paper
25,OFF-PA-10004022,Hammermill Color Copier Paper (28Lb. and 96 Bright),Office Supplies,Paper
26,OFF-PA-10001243,Xerox 1983,Office Supplies,Paper
27,OFF-PA-10002947,Xerox 1923,Office Supplies,Paper
28,OFF-PA-10000019,Xerox 1931,Office Supplies,Paper
29,OFF-PA-10000809,Xerox 206,Office Supplies,Paper
30,OFF-PA-10002377,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",Office Supplies,Paper
31,OFF-PA-10002751,Xerox 1920,Office Supplies,Paper
32,OFF-PA-10004971,Xerox 196,Office Supplies,Paper
33,OFF-PA-10000575,"Wirebound Message Books, Four 2 3/4 x 5 White Forms per Page",Office Supplies,Paper
34,OFF-PA-10003790,Xerox 1991,Office Supplies,Paper
35,OFF-PA-10001776,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",Office Supplies,Paper
36,OFF-PA-10001497,Xerox 1914,Office Supplies,Paper
37,OFF-PA-10000552,Xerox 200,Office Supplies,Paper
38,OFF-PA-10002923,Xerox 1942,Office Supplies,Paper
39,OFF-PA-10000551,Array Memo Cubes,Office Supplies,Paper
40,OFF-PA-10004911,"Rediform S.O.S. 1-Up Phone Message Bk, 4-1/4x3-1/16 Bk, 1 Form/Pg, 40 Messages/Bk, 3/Pk",Office Supplies,Paper
41,OFF-PA-10000143,Astroparche Fine Business Paper,Office Supplies,Paper
42,OFF-PA-10000167,Xerox 1925,Office Supplies,Paper
43,OFF-PA-10004359,Multicolor Computer Printout Paper,Office Supplies,Paper
44,OFF-PA-10001725,Xerox 1892,Office Supplies,Paper
45,OFF-PA-10002421,Embossed Ink Jet Note Cards,Office Supplies,Paper
