date_id,full_date,year,month,day,weeknum,day_of_week,quarter
1,2011-01-01,2011,1,1,52,Saturday,1
2,2011-01-02,2011,1,2,52,Sunday,1
3,2011-01-03,2011,1,3,1,Monday,1
4,2011-01-04,2011,1,4,1,Tuesday,1
5,2011-01-05,2011,1,5,1,Wednesday,1
6,2011-01-06,2011,1,6,1,Thursday,1
7,2011-01-07,2011,1,7,1,Friday,1
8,2011-01-08,2011,1,8,1,Saturday,1
9,2011-01-09,2011,1,9,1,Sunday,1
10,2011-01-10,2011,1,10,2,Monday,1
11,2011-01-11,2011,1,11,2,Tuesday,1
12,2011-01-12,2011,1,12,2,Wednesday,1
13,2011-01-13,2011,1,13,2,Thursday,1
14,2011-01-14,2011,1,14,2,Friday,1
15,2011-01-15,2011,1,15,2,Saturday,1
16,2011-01-16,2011,1,16,2,Sunday,1
17,2011-01-17,2011,1,17,3,Monday,1
18,2011-01-18,2011,1,18,3,Tuesday,1
19,2011-01-19,2011,1,19,3,Wednesday,1
20,2011-01-20,2011,1,20,3,Thursday,1
21,2011-01-21,2011,1,21,3,Friday,1
22,2011-01-22,2011,1,22,3,Saturday,1
23,2011-01-23,2011,1,23,3,Sunday,1
24,2011-01-24,2011,1,24,4,Monday,1
25,2011-01-25,2011,1,25,4,Tuesday,1
26,2011-01-26,2011,1,26,4,Wednesday,1
27,2011-01-27,2011,1,27,4,Thursday,1
28,2011-01-28,2011,1,28,4,Friday,1
29,2011-01-29,2011,1,29,4,Saturday,1
30,2011-01-30,2011,1,30,4,Sunday,1
31,2011-01-31,2011,1,31,5,Monday,1
32,2011-02-01,2011,2,1,5,Tuesday,1
33,2011-02-02,2011,2,2,5,Wednesday,1
34,2011-02-03,2011,2,3,5,Thursday,1
35,2011-02-04,2011,2,4,5,Friday,1
36,2011-02-05,2011,2,5,5,Saturday,1
37,2011-02-06,2011,2,6,5,Sunday,1
38,2011-02-07,2011,2,7,6,Monday,1
39,2011-02-08,2011,2,8,6,Tuesday,1
40,2011-02-09,2011,2,9,6,Wednesday,1
41,2011-02-10,2011,2,10,6,Thursday,1
42,2011-02-11,2011,2,11,6,Friday,1
43,2011-02-12,2011,2,12,6,Saturday,1
44,2011-02-13,2011,2,13,6,Sunday,1
45,2011-02-14,2011,2,14,7,Monday,1
46,2011-02-15,2011,2,15,7,Tuesday,1
47,2011-02-16,2011,2,16,7,Wednesday,1
48,2011-02-17,2011,2,17,7,Thursday,1
49,2011-02-18,2011,2,18,7,Friday,1
50,2011-02-19,2011,2,19,7,Saturday,1
51,2011-02-20,2011,2,20,7,Sunday,1
52,2011-02-21,2011,2,21,8,Monday,1
53,2011-02-22,2011,2,22,8,Tuesday,1
54,2011-02-23,2011,2,23,8,Wednesday,1
55,2011-02-24,2011,2,24,8,Thursday,1
56,2011-02-25,2011,2,25,8,Friday,1
57,2011-02-26,2011,2,26,8,Saturday,1
58,2011-02-27,2011,2,27,8,Sunday,1
59,2011-02-28,2011,2,28,9,Monday,1
60,2011-03-01,2011,3,1,9,Tuesday,1
61,2011-03-02,2011,3,2,9,Wednesday,1
62,2011-03-03,2011,3,3,9,Thursday,1
63,2011-03-04,2011,3,4,9,Friday,1
64,2011-03-05,2011,3,5,9,Saturday,1
65,2011-03-06,2011,3,6,9,Sunday,1
66,2011-03-07,2011,3,7,10,Monday,1
