order_id,product_key,customer_id,geography_id,order_date_id,ship_date_id,order_priority,ship_mode,sales,profit,quantity,discount,shipping_cost
CA-2011-130813,1,LS-172304,1,7,9,High,Second Class,19,9.3312,3,0.0,4.37
CA-2011-148614,2,MV-174854,1,21,26,Medium,Standard Class,19,9.2928,2,0.0,0.94
CA-2011-118962,3,CS-121304,1,217,221,Medium,Standard Class,21,9.8418,3,0.0,1.81
CA-2011-118962,4,CS-121304,1,217,221,Medium,Standard Class,111,53.2608,2,0.0,4.59
CA-2011-146969,5,AP-109154,1,272,276,High,Standard Class,6,3.1104,1,0.0,1.32
CA-2011-117317,6,JF-154904,1,292,292,Critical,Same Day,13,6.5856,3,0.0,2.39
CA-2011-125829,7,WB-218504,1,308,315,Medium,Standard Class,19,9.3312,3,0.0,1.15
CA-2011-151295,8,JA-159704,1,316,320,High,Standard Class,12,5.8604,2,0.0,0.92
CA-2011-135090,9,SP-209204,1,326,330,High,Standard Class,54,24.219,9,0.0,6.98
CA-2011-133830,10,RL-196154,1,339,344,Medium,Standard Class,49,23.0864,4,0.0,1.99
CA-2011-113579,11,KD-163454,1,347,349,High,Second Class,90,41.5104,6,0.0,8.53
CA-2012-116092,12,JM-161954,1,411,414,Medium,Second Class,13,6.4128,2,0.0,1.0
CA-2012-116092,13,JM-161954,1,411,414,Medium,Second Class,19,9.3312,3,0.0,0.06
CA-2012-121776,14,RD-195854,1,412,417,High,Standard Class,37,17.3148,3,0.0,4.04
CA-2012-131534,15,AB-101654,1,453,458,Medium,Standard Class,33,16.032,5,0.0,2.25
US-2012-136987,16,AR-105404,1,467,470,Medium,Second Class,53,24.2696,2,0.0,1.59
CA-2012-121965,17,LH-171554,1,536,540,Medium,Standard Class,6,3.1104,1,0.0,0.52
CA-2012-112319,18,AR-105104,1,609,614,High,Standard Class,58,27.9936,9,0.0,7.98
CA-2012-137708,19,NG-184304,1,692,695,High,Second Class,38,18.2112,2,0.0,3.9
CA-2012-137708,20,NG-184304,1,692,695,High,Second Class,43,19.26,10,0.0,6.15
CA-2012-105347,21,DP-130004,1,694,698,Medium,Standard Class,369,180.7659,9,0.0,6.98
CA-2012-153416,1,TS-213404,1,694,699,Medium,Standard Class,19,9.3312,3,0.0,1.68
CA-2012-135545,22,KM-167204,1,694,700,Medium,Standard Class,147,68.9631,3,0.0,4.93
CA-2012-158918,23,AI-108554,1,720,725,Medium,Second Class,17,7.704,4,0.0,1.31
CA-2012-135580,24,CL-125654,1,730,734,Medium,Standard Class,69,31.5192,3,0.0,6.36
US-2013-119270,25,SW-202454,1,803,807,Medium,Standard Class,20,8.991,2,0.0,1.3
CA-2013-131380,26,CC-122204,1,819,822,Critical,Second Class,6,2.9302,1,0.0,1.82
CA-2013-130477,27,LC-171404,1,830,834,High,Standard Class,20,9.6192,3,0.0,2.92
CA-2013-130477,28,LC-171404,1,830,834,High,Standard Class,13,6.2208,2,0.0,2.28
CA-2013-163594,29,JF-152954,1,834,836,Medium,First Class,19,9.3312,3,0.0,1.77
US-2013-115819,30,JO-152804,1,841,846,Medium,Second Class,23,10.224,4,0.0,3.87
CA-2013-111696,31,TB-216254,1,860,862,High,First Class,18,8.073,3,0.0,3.42
CA-2013-162733,31,TT-210704,1,863,864,Medium,First Class,6,2.691,1,0.0,0.41
CA-2013-133144,32,DO-134354,1,868,873,Medium,Second Class,17,8.4966,3,0.0,1.82
CA-2013-136994,33,LS-172454,1,879,885,Medium,Standard Class,13,6.1548,2,0.0,0.88
CA-2013-134803,34,CL-125654,1,880,886,Low,Standard Class,183,84.0512,8,0.0,17.93
CA-2013-113243,18,OT-187304,1,893,898,Medium,Standard Class,32,15.552,5,0.0,1.91
CA-2013-148593,35,BD-113204,1,899,901,Medium,Second Class,46,21.7845,5,0.0,1.14
CA-2013-123512,36,MV-181904,1,900,902,Critical,First Class,220,107.7216,4,0.0,74.66
CA-2013-130029,37,GT-147554,1,916,919,High,First Class,13,6.2208,2,0.0,1.62
CA-2013-135265,38,CC-123704,1,920,922,Critical,Second Class,49,24.47,1,0.0,10.36
CA-2013-136021,39,JM-155804,1,958,962,High,Standard Class,16,7.6146,3,0.0,2.15
CA-2013-167241,40,BD-113204,1,959,966,Low,Standard Class,38,18.0096,4,0.0,4.05
US-2013-101497,19,PS-187604,1,1004,1006,High,Second Class,19,9.1056,1,0.0,1.89
CA-2013-155033,41,CC-124754,1,1012,1017,High,Standard Class,11,5.0688,2,0.0,1.61
US-2013-162026,42,JE-157454,1,1013,1013,Critical,Same Day,62,27.882,2,0.0,3.0
CA-2013-109365,43,XP-218654,1,1039,1044,Medium,Standard Class,315,150.984,3,0.0,22.15
CA-2013-109365,44,XP-218654,1,1039,1044,Medium,Standard Class,116,56.9772,3,0.0,5.57
CA-2013-109365,13,XP-218654,1,1039,1044,Medium,Standard Class,19,9.3312,3,0.0,1.3
CA-2013-158694,45,AI-108554,1,1046,1049,High,Second Class,68,32.5008,3,0.0,10.83
CA-2013-158694,10,AI-108554,1,1046,1049,High,Second Class,61,28.858,5,0.0,8.68
CA-2014-149076,46,SO-203354,1,1111,1116,Medium,Standard Class,155,69.705,5,0.0,9.12
CA-2014-104647,47,CK-125954,1,1151,1157,Medium,Standard Class,37,16.848,6,0.0,3.82
CA-2014-128965,40,PS-187604,1,1204,1209,Medium,Standard Class,28,13.5072,3,0.0,2.84
CA-2014-120222,48,LL-168404,1,1212,1219,Medium,Standard Class,19,8.763,3,0.0,1.52
CA-2014-147844,49,DD-135704,1,1219,1223,Medium,Standard Class,16,7.065,5,0.0,0.93
CA-2014-147844,50,DD-135704,1,1219,1223,Medium,Standard Class,34,15.824,5,0.0,2.54
US-2014-152002,51,DV-134654,1,1259,1259,Medium,Same Day,123,60.2553,3,0.0,23.65
