date,sales,year,month,day,day_of_week,week_of_year,quarter,is_year_end,sales_lag_1,sales_lag_7,sales_lag_14,sales_lag_30,sales_rolling_7,sales_rolling_30
2011-01-31,7643,2011,1,31,0,5,1,0,455.0,3983.0,2310.0,808.0,2713.714285714286,3269.8
2011-02-01,2457,2011,2,1,1,5,1,0,7643.0,1192.0,932.0,314.0,2894.4285714285716,3341.233333333333
2011-02-02,7712,2011,2,2,2,5,1,0,2457.0,5422.0,2054.0,4502.0,3221.5714285714284,3448.233333333333
2011-02-03,366,2011,2,3,3,5,1,0,7712.0,2166.0,2288.0,2809.0,2964.4285714285716,3366.8
2011-02-04,1866,2011,2,4,4,5,1,0,366.0,1208.0,8486.0,3664.0,3058.4285714285716,3306.866666666667
2011-02-05,221,2011,2,5,5,5,1,0,1866.0,910.0,3563.0,623.0,2960.0,3293.4666666666667
2011-02-06,3,2011,2,6,6,5,1,0,221.0,455.0,2163.0,7122.0,2895.4285714285716,3056.1666666666665
2011-02-07,1799,2011,2,7,0,6,1,0,3.0,7643.0,3983.0,6295.0,2060.5714285714284,2906.3
2011-02-08,1008,2011,2,8,1,6,1,0,1799.0,2457.0,1192.0,815.0,1853.5714285714287,2912.733333333333
2011-02-09,4579,2011,2,9,2,6,1,0,1008.0,7712.0,5422.0,6793.0,1406.0,2838.9333333333334
2011-02-10,11863,2011,2,10,3,6,1,0,4579.0,366.0,2166.0,6454.0,3048.4285714285716,3019.233333333333
2011-02-11,1008,2011,2,11,4,6,1,0,11863.0,1866.0,1208.0,2631.0,2925.8571428571427,2965.133333333333
2011-02-12,2870,2011,2,12,5,6,1,0,1008.0,221.0,910.0,2585.0,3304.285714285714,2974.633333333333
2011-02-13,130,2011,2,13,6,6,1,0,2870.0,3.0,455.0,6281.0,3322.4285714285716,2769.6
2011-02-14,4604,2011,2,14,0,7,1,0,130.0,1799.0,7643.0,2281.0,3723.1428571428573,2847.0333333333333
2011-02-15,10347,2011,2,15,1,7,1,0,4604.0,1008.0,2457.0,150.0,5057.285714285715,3186.9333333333334
2011-02-16,9334,2011,2,16,2,7,1,0,10347.0,4579.0,7712.0,2310.0,5736.571428571428,3421.0666666666666
2011-02-17,631,2011,2,17,3,7,1,0,9334.0,11863.0,366.0,932.0,4132.0,3411.0333333333333
2011-02-18,2303,2011,2,18,4,7,1,0,631.0,1008.0,1866.0,2054.0,4317.0,3419.3333333333335
2011-02-19,156,2011,2,19,5,7,1,0,2303.0,2870.0,221.0,2288.0,3929.285714285714,3348.266666666667
